Codice Scuola,Denominazione,Comune,Indirizzo,indirizzo_completo,latitudine,longitudine,km_bici,minuti_bici,distanza_km,codice scuola,denominazione scuola,sum_COMUNE,sum_CON METODO MONTESSORI,sum_SOSTEGNO PSICOFISICO
MIAA813009,IC DON CARLO GNOCCHI,SAN COLOMBANO AL LAMBRO,"Via Steffenini, 96/B – 20078 San Colombano al Lambro (MI)","lombardia, italia, via steffenini, 96/b – 20078 san colombano al lambro (mi), san colombano al lambro",45.1828584,9.4880289,54.74,187.35,57.38,MIAA813009,IC DON CARLO GNOCCHI,4,0,0
MIAA819008,IC I. CALVINO,MILANO,"Via Frigia, 4 – 20100 Milano (MI)","lombardia, italia, via frigia, 4 – 20100 milano (mi), milano",45.5150667,9.221998,9.99,35.32,10.62,MIAA819008,IC I. CALVINO,0,0,1
MIAA822004,IC MANZONI AD ORDINAM. MUSICALE,COLOGNO MONZESE,"Via Boccaccio, 13 – 20093 Cologno Monzese (MI)","lombardia, italia, via boccaccio, 13 – 20093 cologno monzese (mi), cologno monzese",45.5350092,9.281235,3.81,13.9,3.79,MIAA822004,IC MANZONI AD ORDINAM. MUSICALE,2,0,0
MIAA82500G,IC BALILLA PAGANELLI,CINISELLO BALSAMO,"Via Friuli, 18 – 20092 Cinisello Balsamo (MI)","lombardia, italia, via friuli, 18 – 20092 cinisello balsamo (mi), cinisello balsamo",45.5501947,9.1949583,11.1,37.52,13.6,MIAA82500G,IC BALILLA PAGANELLI,3,1,1
MIAA83200P,I.C. SETTIMO MILANESE,SETTIMO MILANESE,"Via Buozzi, 1 – 20019 Settimo Milanese (MI)","lombardia, italia, via buozzi, 1 – 20019 settimo milanese (mi), settimo milanese",45.4836988,9.0545404,29.98,104.69,26.84,MIAA83200P,I.C. SETTIMO MILANESE,6,0,1
MIAA83300E,IC REGINA ELENA,SOLARO,"Via Drizza, 16 – 20020 Solaro (MI)","lombardia, italia, via drizza, 16 – 20020 solaro (mi), solaro",45.6165571,9.0751496,24.59,84.11,28.36,MIAA83300E,IC REGINA ELENA,2,0,1
MIAA836002,IC DON LORENZO MILANI,TURBIGO,"Via Trieste, 21 – 20029 Turbigo (MI)","lombardia, italia, via trieste, 21 – 20029 turbigo (mi), turbigo",45.5363326,8.7397125,53.87,200.28,52.09,MIAA836002,IC DON LORENZO MILANI,0,0,1
MIAA83700T,IC G. FALCONE E P. BORSELLINO,CASTANO PRIMO,"Via Giolitti, 11 – 20022 Castano Primo (MI)","lombardia, italia, via giolitti, 11 – 20022 castano primo (mi), castano primo",45.5612795,8.7777116,50.35,186.96,50.4,MIAA83700T,IC G. FALCONE E P. BORSELLINO,0,0,1
MIAA83800N,RITA LEVI MONTALCINI,CUGGIONO,"Via Annoni, 47/A – 20012 Cuggiono (MI)","lombardia, italia, via annoni, 47/a – 20012 cuggiono (mi), cuggiono",45.5007224,8.8094448,50.09,180.62,44.02,MIAA83800N,RITA LEVI MONTALCINI,0,0,1
MIAA842009,IC ADA NEGRI,MAGNAGO,"Via G. Leopardi, 1 – 20020 Magnago (MI)","lombardia, italia, via g. leopardi, 1 – 20020 magnago (mi), magnago",45.5787312,8.8018508,51.0,186.22,52.32,MIAA842009,IC ADA NEGRI,0,0,3
MIAA84700C,IC A. STROBINO,CERRO MAGGIORE,"Via Boccaccio, 2/E – 20023 Cerro Maggiore (MI)","lombardia, italia, via boccaccio, 2/e – 20023 cerro maggiore (mi), cerro maggiore",45.5927418,8.9565831,35.73,128.17,36.53,MIAA84700C,IC A. STROBINO,0,0,1
MIAA85300Q,IC NERVIANO,NERVIANO,"Via Roma, 51 – 20014 Nerviano (MI)","lombardia, italia, via roma, 51 – 20014 nerviano (mi), nerviano",45.553345,8.9754269,32.51,117.84,34.79,MIAA85300Q,IC NERVIANO,0,0,1
MIAA856007,IC ALDO MORO,CORBETTA,"Via Europa, 1 – 20011 Corbetta (MI)","lombardia, italia, via europa, 1 – 20011 corbetta (mi), corbetta",45.4675409,8.925624,40.27,135.25,37.88,MIAA856007,IC ALDO MORO,0,0,1
MIAA86000V,IC S.PELLICO,ARLUNO,"Piazza Europa, 9 – 20010 Arluno (MI)","lombardia, italia, piazza europa, 9 – 20010 arluno (mi), arluno",45.50507,8.941541,35.81,120.46,35.41,MIAA86000V,IC S.PELLICO,3,0,1
MIAA865002,IC SEDRIANO,SEDRIANO,"Via Matteotti, 8 – 20018 Sedriano (MI)","lombardia, italia, via matteotti, 8 – 20018 sedriano (mi), sedriano",45.4918215,8.9694168,34.92,117.84,38.85,MIAA865002,IC SEDRIANO,2,0,2
MIAA86700N,IC GIORGIO PERLASCA,BAREGGIO,"Via Matteotti, 35 – 20010 Bareggio (MI)","lombardia, italia, via matteotti, 35 – 20010 bareggio (mi), bareggio",45.4842069,8.9882691,36.88,129.03,30.62,MIAA86700N,IC GIORGIO PERLASCA,1,0,0
MIAA869009,IC ERASMO DA ROTTERDAM,CISLIANO,"Via Vivaldi 2, 20080 CISLIANO MI","lombardia, italia, via vivaldi 2, 20080 cisliano mi, cisliano",45.4457723,8.9839946,34.52,120.88,37.29,MIAA869009,IC ERASMO DA ROTTERDAM,1,0,0
MIAA872005,IC ADA NEGRI,MOTTA VISCONTI,"Via Europa 1, 20086 MOTTA VISCONTI MI","lombardia, italia, via europa 1, 20086 motta visconti mi, motta visconti",45.2910351,8.9917838,46.61,161.81,53.35,MIAA872005,IC ADA NEGRI,4,0,1
MIAA873001,IC G. RODARI,VERMEZZO CON ZELO,"Via Cavour 28, 20071 VERMEZZO CON ZELO MI","lombardia, italia, via cavour 28, 20071 vermezzo con zelo mi, vermezzo con zelo",45.3879312,8.9853481,37.5,134.44,43.94,MIAA873001,IC G. RODARI,3,0,0
MIAA87600C,IC. DI ROSATE,ROSATE,"Via G. Carducci 3, 20088 ROSATE MI","lombardia, italia, via g. carducci 3, 20088 rosate mi, rosate",45.3506362,9.0174194,43.38,147.55,49.3,MIAA87600C,IC. DI ROSATE,3,0,0
MIAA877008,IC DANTE ALIGHIERI,OPERA,"Via Sporting Mirasole 9, 20090 OPERA MI","lombardia, italia, via sporting mirasole 9, 20090 opera mi, opera",45.3962799,9.2116842,24.43,85.11,27.75,MIAA877008,IC DANTE ALIGHIERI,2,0,0
MIAA880004,IC ORCHIDEE,ROZZANO,"Via delle Orchidee 6, 20089 ROZZANO MI","lombardia, italia, via delle orchidee 6, 20089 rozzano mi, rozzano",45.3790902,9.1544766,28.81,98.7,33.63,MIAA880004,IC ORCHIDEE,5,0,3
MIAA88100X,IC NOVIGLIO-CASARILE,NOVIGLIO,"Via Indipendenza 19, 20082 NOVIGLIO MI","lombardia, italia, via indipendenza 19, 20082 noviglio mi, noviglio",45.3443136,9.0807125,36.65,124.64,43.0,MIAA88100X,IC NOVIGLIO-CASARILE,6,0,1
MIAA88200Q,IC A. BENEDETTI MICHELANGELI,LACCHIARELLA,"Via Don Minzoni 14, 20084 LACCHIARELLA MI","lombardia, italia, via don minzoni 14, 20084 lacchiarella mi, lacchiarella",45.3220821,9.1324815,35.07,119.38,45.04,MIAA88200Q,IC A. BENEDETTI MICHELANGELI,9,0,0
MIAA88400B,IC BASIGLIO,BASIGLIO,"Via Sandro Pertini 1, 20080 BASIGLIO MI","lombardia, italia, via sandro pertini 1, 20080 basiglio mi, basiglio",45.3470275,9.1676335,32.41,111.1,36.42,MIAA88400B,IC BASIGLIO,2,0,1
MIAA885007,IC DON MILANI LOCATE DI TRIULZI,LOCATE DI TRIULZI,"Via Ada Negri 2, 20085 LOCATE DI TRIULZI MI","lombardia, italia, via ada negri 2, 20085 locate di triulzi mi, locate di triulzi",45.3601568,9.2244216,30.71,107.31,28.24,MIAA885007,IC DON MILANI LOCATE DI TRIULZI,6,0,2
MIAA88700V,IC GALILEI,CORSICO,"Via Galilei 3, 20094 CORSICO MI","lombardia, italia, via galilei 3, 20094 corsico mi, corsico",45.4287655,9.11202,25.93,90.2,41.93,MIAA88700V,IC GALILEI,1,0,1
MIAA88800P,IC BUONARROTI,CORSICO,"Via delle Betulle 1, 20094 CORSICO MI","lombardia, italia, via delle betulle 1, 20094 corsico mi, corsico",45.4359776,9.1091789,25.17,88.94,35.85,MIAA88800P,IC BUONARROTI,0,0,1
